label,sms
non-phishing,"paym hsbc: login verif code 831941. never ask verif code, pleas share anyone."
non-phishing,use code (394426) wechat log account. forward code!
non-phishing,aeon: aeon onlin custom servic password changed.
non-phishing,enquiri hotline: 289562
non-phishing,aeon credit: otp 999524 txn amount hkd768.00. pleas call 28956262 request this.
non-phishing,"[uniqlo] hello, uniqlo offici network flagship store verif code 780346. pleas note verif code valid 15 minutes."
non-phishing,"happi birthday! let' start party! spend first time birthday month, automat enjoy doubl point discount. look forward see you! term condit apply. queri cancel 25426322"
non-phishing,"final summoning! special member christma discount 9-15/12 sm shop $129 get holiday limit edit moistur cream gift box (retail price $99), end-of-the-sal term constraint inquiri cancel 25426322"
non-phishing,[iteshop]shop design label ultim sale: 80%off & extra 10%off select item (code:ex10)! shop:https://iteshop.it/3xe4fr en/un:800969032
non-phishing,[iteshop]th ultim sale limit time offer! extra 10%off select fred perri items(12-3pm today). shop & login:https://iteshop.it/3ivqpgj en:800969032
non-phishing,polic appeal public event hong kong island afternoon. pleas pay attent safeti pay attent polic news announc latest social media news. need repli message.
non-phishing,"hi jane, remind appoint dr. smith clinic tomorrow 2:00 pm. pleas rememb bring insur card relev medic records. need reschedule, pleas let us know soon possible. thank look forward see you."
non-phishing,"hi david, remind job interview schedul abc compani friday, april 1st 10:00 am. interview held offic 123 main street. pleas plan arriv minut earli bring copi resum relev materials. need reschedul questions, pleas let us know. we'r excit meet learn qualifications."
non-phishing,"hi karen, want let know we'r special sale store weekend. item store 20% off, we'r also offer free gift purchas $50. sale run friday sunday, come take advantag savings! hope see soon."
non-phishing,"dear {first name}! appreci loyal client, we’r invit particip contest win {item}! learn join, visit {url}. good luck!"
non-phishing,"giveaway alert! {first name}, {compani name} give away {product} first 25 peopl show text employe check-out locations. stop run short! store open {time}. regards."
non-phishing,receiv discount exclus offer {brand name}! text {keyword} {busi number} get 15% discount next purchase! truli {compani name}.
non-phishing,"hey {first name}, {your name} {restaur name}. we’r launch new reward program earn favorit drink treats. sign learn here: {url}"
non-phishing,"spring around corner! check new {item} line keep cool nifti season. won’t get better this: top brands, select looks, $10 delivery. {url}"
non-phishing,"hello, {first name}, thank shop us! need {product} match {purchase}? click check we’v pick you! {url}"
non-phishing,first know hot offer discount {compani name}! click {url} join vip list. sure turn post notif don’t miss monthli giveaway.
non-phishing,comes! shop onlin {store name} exclus 30% coupon larg select items: {url}. end 8/15.
non-phishing,"hi [first name], [service] today [time]. pleas tri 10 min early. readi forget stress worri [your busi name]!"
